customer_id,operator,plan_type,tenure
CUST0,Airtel,Prepaid,60
CUST1,Jio,Prepaid,61
CUST2,Airtel,Postpaid,14
CUST3,BSNL,Postpaid,46
CUST4,Airtel,Prepaid,39
CUST5,Airtel,Prepaid,66
CUST6,Vi,Prepaid,8
CUST7,Vi,Postpaid,3
CUST8,BSNL,Postpaid,12
CUST9,Jio,Prepaid,35
CUST10,Jio,Postpaid,32
CUST11,Airtel,Postpaid,34
CUST12,Vi,Postpaid,45
CUST13,Jio,Prepaid,33
CUST14,Airtel,Prepaid,63
CUST15,BSNL,Prepaid,43
CUST16,BSNL,Prepaid,2
CUST17,BSNL,Prepaid,41
CUST18,BSNL,Postpaid,44
CUST19,Airtel,Prepaid,11
CUST20,BSNL,Prepaid,57
CUST21,Airtel,Postpaid,3
CUST22,Jio,Postpaid,59
CUST23,Vi,Postpaid,42
CUST24,Jio,Prepaid,21
CUST25,Airtel,Postpaid,45
CUST26,Jio,Prepaid,20
CUST27,Jio,Prepaid,63
CUST28,Airtel,Prepaid,4
CUST29,BSNL,Postpaid,42
CUST30,BSNL,Postpaid,13
CUST31,Vi,Postpaid,58
CUST32,Airtel,Prepaid,7
CUST33,Vi,Postpaid,62
CUST34,Jio,Prepaid,45
CUST35,BSNL,Postpaid,66
CUST36,Jio,Prepaid,49
CUST37,Jio,Postpaid,24
CUST38,Jio,Postpaid,41
CUST39,Jio,Postpaid,40
CUST40,BSNL,Postpaid,64
CUST41,Airtel,Postpaid,54
CUST42,Vi,Postpaid,14
CUST43,Jio,Postpaid,19
CUST44,Airtel,Prepaid,51
CUST45,Vi,Postpaid,57
CUST46,Airtel,Postpaid,17
CUST47,BSNL,Prepaid,64
CUST48,Vi,Postpaid,60
CUST49,BSNL,Prepaid,56
CUST50,Jio,Postpaid,10
CUST51,Vi,Postpaid,37
CUST52,BSNL,Postpaid,6
CUST53,Vi,Prepaid,71
CUST54,Airtel,Postpaid,65
CUST55,Jio,Prepaid,21
CUST56,Vi,Prepaid,59
CUST57,Jio,Prepaid,23
CUST58,Airtel,Postpaid,67
CUST59,BSNL,Postpaid,64
CUST60,BSNL,Prepaid,49
CUST61,Jio,Postpaid,58
CUST62,BSNL,Prepaid,27
CUST63,Vi,Postpaid,41
CUST64,Airtel,Prepaid,66
CUST65,Vi,Prepaid,14
CUST66,Jio,Prepaid,63
CUST67,Jio,Prepaid,48
CUST68,Jio,Prepaid,9
CUST69,Jio,Postpaid,40
CUST70,BSNL,Prepaid,17
CUST71,Airtel,Prepaid,63
CUST72,Airtel,Prepaid,37
CUST73,Vi,Prepaid,25
CUST74,Vi,Prepaid,5
CUST75,Airtel,Postpaid,55
CUST76,Airtel,Postpaid,9
CUST77,Jio,Postpaid,60
CUST78,BSNL,Prepaid,15
CUST79,Jio,Prepaid,71
CUST80,BSNL,Prepaid,25
CUST81,Vi,Prepaid,7
CUST82,BSNL,Prepaid,50
CUST83,BSNL,Prepaid,37
CUST84,Vi,Prepaid,63
CUST85,BSNL,Postpaid,65
CUST86,Airtel,Postpaid,44
CUST87,Airtel,Postpaid,8
CUST88,BSNL,Postpaid,69
CUST89,BSNL,Prepaid,4
CUST90,BSNL,Postpaid,12
CUST91,Jio,Postpaid,42
CUST92,BSNL,Postpaid,61
CUST93,Vi,Prepaid,61
CUST94,Jio,Prepaid,23
