customer_id,data_gb,call_minutes
CUST0,9,1585
CUST1,66,1570
CUST2,99,2118
CUST3,52,1165
CUST4,57,3434
CUST5,75,2282
CUST6,26,4929
CUST7,81,1861
CUST8,33,1777
CUST9,62,2141
CUST10,52,2650
CUST11,3,520
CUST12,10,4558
CUST13,46,4080
CUST14,88,883
CUST15,35,2885
CUST16,62,2540
CUST17,52,3868
CUST18,68,3721
CUST19,61,4441
CUST20,85,3774
CUST21,92,3170
CUST22,14,3736
CUST23,49,1110
CUST24,51,448
CUST25,40,3939
CUST26,36,646
CUST27,1,1136
CUST28,43,1301
CUST29,62,476
CUST30,66,1459
CUST31,30,3635
CUST32,28,4870
CUST33,51,3777
CUST34,2,2935
CUST35,29,2248
CUST36,80,2513
CUST37,84,4445
CUST38,7,3787
CUST39,42,1888
CUST40,21,1147
CUST41,55,3173
CUST42,40,1181
CUST43,8,1940
CUST44,64,1512
CUST45,45,1209
CUST46,1,840
CUST47,87,3835
CUST48,93,3797
CUST49,12,1695
CUST50,95,3902
CUST51,78,228
CUST52,36,1069
CUST53,4,2209
CUST54,21,1184
CUST55,80,1763
CUST56,13,1413
CUST57,51,1510
CUST58,91,2464
CUST59,16,1015
CUST60,5,1531
CUST61,57,1784
CUST62,26,4857
CUST63,27,2300
CUST64,52,3325
CUST65,14,3925
CUST66,11,2749
CUST67,54,1280
CUST68,81,3933
CUST69,95,2949
CUST70,18,2345
CUST71,39,2996
CUST72,13,1273
CUST73,27,442
CUST74,50,2836
CUST75,65,2667
CUST76,55,1951
CUST77,19,4028
CUST78,98,112
CUST79,11,1958
CUST80,4,3229
CUST81,68,1558
CUST82,13,3856
CUST83,19,3671
CUST84,73,2534
CUST85,92,3165
CUST86,12,822
CUST87,49,3017
CUST88,32,1898
CUST89,65,256
CUST90,29,2247
CUST91,87,460
CUST92,13,1819
CUST93,65,4833
CUST94,58,392
CUST95,20,1544
CUST96,19,3473
CUST97,11,420
CUST98,78,1329
CUST99,31,2650
CUST100,92,3864
CUST101,71,4065
CUST102,18,1793
CUST103,11,224
CUST104,72,4709
CUST105,15,758
CUST106,90,2262
CUST107,85,4782
CUST108,24,1201
CUST109,37,2782
CUST110,29,150
CUST111,95,2695
CUST112,26,2132
CUST113,15,4188
CUST114,83,2571
CUST115,8,4879
CUST116,59,3939
CUST117,90,1112
CUST118,64,3215
CUST119,6,1068
CUST120,7,569
CUST121,48,536
CUST122,33,3110
CUST123,73,3250
CUST124,32,1940
CUST125,47,684
CUST126,29,4455
CUST127,84,1823
CUST128,30,119
CUST129,99,2479
CUST130,9,2235
CUST131,3,516
CUST132,19,4643
CUST133,5,246
CUST134,43,777
CUST135,21,3920
CUST136,13,239
CUST137,23,2526
CUST138,70,4952
CUST139,51,1884
CUST140,12,4469
CUST141,67,3881
CUST142,59,2659
CUST143,43,1270
CUST144,37,4207
CUST145,33,1591
CUST146,66,4497
CUST147,75,4171
CUST148,94,3406
CUST149,99,3736
CUST150,92,1255
CUST151,30,4110
CUST152,77,3042
CUST153,79,1297
CUST154,17,1305
CUST155,90,4798
CUST156,61,572
CUST157,31,987
CUST158,25,2337
CUST159,89,4401
CUST160,70,1132
CUST161,18,4041
CUST162,90,1306
CUST163,50,3980
CUST164,74,2205
CUST165,94,2961
CUST166,30,4175
CUST167,50,2914
CUST168,54,3832
CUST169,84,1477
CUST170,25,4041
CUST171,3,4054
CUST172,65,562
CUST173,91,2930
CUST174,66,3055
CUST175,12,3227
CUST176,44,761
CUST177,13,316
CUST178,4,2073
CUST179,81,3900
CUST180,66,251
CUST181,64,500
CUST182,40,2348
CUST183,14,261
CUST184,91,3202
CUST185,19,4135
CUST186,39,3556
CUST187,34,4836
CUST188,32,2555
CUST189,63,1060
CUST190,8,1078
CUST191,27,294
CUST192,67,722
CUST193,17,4695
CUST194,73,1677
CUST195,38,4669
CUST196,10,3728
CUST197,22,3223
CUST198,26,4686
CUST199,55,3239
CUST200,83,4318
CUST201,77,2464
CUST202,93,2484
CUST203,78,2142
CUST204,78,858
CUST205,50,2182
CUST206,23,4198
CUST207,1,813
CUST208,91,3593
CUST209,92,3979
CUST210,85,1494
CUST211,71,3161
CUST212,36,3071
CUST213,68,583
CUST214,25,3251
CUST215,24,53
CUST216,88,541
CUST217,44,4501
CUST218,92,3113
CUST219,64,1232
CUST220,4,1908
CUST221,93,4986
CUST222,84,4052
CUST223,1,3083
CUST224,54,2720
CUST225,12,3213
CUST226,34,1678
CUST227,43,3263
CUST228,42,2169
