customer_id,previous_bill,paid_status
CUST0,1025,Paid
CUST1,1724,Paid
CUST2,1247,Unpaid
CUST3,1876,Unpaid
CUST4,1109,Paid
CUST5,512,Paid
CUST6,329,Paid
CUST7,1628,Unpaid
CUST8,1906,Unpaid
CUST9,561,Paid
CUST10,626,Unpaid
CUST11,277,Unpaid
CUST12,1753,Paid
CUST13,916,Unpaid
CUST14,1499,Paid
CUST15,591,Paid
CUST16,914,Paid
CUST17,1140,Paid
CUST18,625,Unpaid
CUST19,1731,Unpaid
CUST20,1425,Paid
CUST21,402,Paid
CUST22,1605,Unpaid
CUST23,219,Unpaid
CUST24,522,Paid
CUST25,1059,Unpaid
CUST26,586,Unpaid
CUST27,1278,Paid
CUST28,1201,Paid
CUST29,1002,Unpaid
CUST30,1383,Unpaid
CUST31,248,Paid
CUST32,218,Paid
CUST33,841,Unpaid
CUST34,1181,Paid
CUST35,1544,Paid
CUST36,1845,Unpaid
CUST37,714,Paid
CUST38,1230,Paid
CUST39,1801,Unpaid
CUST40,255,Unpaid
CUST41,1853,Paid
CUST42,1808,Paid
CUST43,327,Unpaid
CUST44,1861,Unpaid
CUST45,1334,Paid
CUST46,467,Paid
CUST47,1649,Paid
CUST48,1125,Paid
CUST49,1907,Paid
CUST50,1962,Paid
CUST51,245,Unpaid
CUST52,400,Paid
CUST53,1165,Unpaid
CUST54,1490,Unpaid
CUST55,219,Paid
CUST56,1695,Unpaid
CUST57,908,Unpaid
CUST58,1835,Paid
CUST59,1422,Unpaid
CUST60,1735,Unpaid
CUST61,865,Unpaid
CUST62,455,Unpaid
CUST63,240,Unpaid
CUST64,1389,Unpaid
CUST65,632,Paid
CUST66,1966,Paid
CUST67,641,Unpaid
CUST68,1621,Paid
CUST69,1605,Paid
CUST70,1286,Paid
CUST71,1488,Paid
CUST72,846,Paid
CUST73,1562,Paid
CUST74,1078,Unpaid
CUST75,1908,Paid
CUST76,525,Paid
CUST77,606,Paid
CUST78,1320,Unpaid
CUST79,1148,Paid
CUST80,1320,Unpaid
CUST81,1804,Paid
CUST82,1340,Paid
CUST83,1989,Paid
CUST84,769,Unpaid
CUST85,511,Unpaid
CUST86,1414,Unpaid
CUST87,1038,Paid
CUST88,559,Paid
CUST89,1396,Unpaid
CUST90,896,Unpaid
CUST91,1523,Unpaid
CUST92,660,Unpaid
CUST93,701,Unpaid
CUST94,934,Unpaid
CUST95,1634,Paid
CUST96,627,Paid
CUST97,1038,Paid
CUST98,307,Paid
CUST99,1774,Paid
CUST100,1315,Paid
CUST101,942,Unpaid
CUST102,1251,Paid
CUST103,1898,Paid
CUST104,1204,Paid
CUST105,412,Unpaid
CUST106,736,Unpaid
CUST107,736,Paid
CUST108,1597,Unpaid
CUST109,1861,Unpaid
CUST110,1782,Paid
CUST111,853,Unpaid
CUST112,1757,Paid
CUST113,876,Unpaid
CUST114,461,Paid
CUST115,376,Paid
CUST116,526,Paid
CUST117,1368,Unpaid
CUST118,1388,Paid
CUST119,548,Unpaid
CUST120,1661,Paid
CUST121,1354,Paid
CUST122,804,Unpaid
CUST123,738,Paid
CUST124,715,Unpaid
CUST125,728,Paid
CUST126,552,Unpaid
CUST127,886,Unpaid
CUST128,1548,Unpaid
CUST129,392,Unpaid
CUST130,1005,Paid
CUST131,895,Paid
CUST132,253,Unpaid
CUST133,1507,Paid
CUST134,1118,Unpaid
CUST135,1454,Unpaid
CUST136,755,Unpaid
CUST137,1967,Unpaid
CUST138,944,Unpaid
CUST139,928,Paid
CUST140,1447,Unpaid
CUST141,947,Paid
CUST142,986,Unpaid
CUST143,1201,Paid
CUST144,1468,Paid
CUST145,448,Unpaid
CUST146,331,Unpaid
CUST147,1819,Unpaid
CUST148,795,Paid
CUST149,1141,Paid
CUST150,406,Unpaid
CUST151,372,Paid
CUST152,1383,Unpaid
CUST153,1482,Paid
CUST154,809,Unpaid
CUST155,580,Paid
CUST156,1476,Paid
CUST157,1717,Unpaid
CUST158,1460,Paid
CUST159,1259,Unpaid
CUST160,1020,Unpaid
CUST161,295,Unpaid
CUST162,403,Unpaid
CUST163,1980,Paid
CUST164,1690,Paid
CUST165,1779,Unpaid
CUST166,1596,Unpaid
CUST167,1525,Unpaid
CUST168,1469,Paid
CUST169,1849,Paid
CUST170,350,Paid
CUST171,1520,Paid
CUST172,231,Unpaid
CUST173,358,Unpaid
CUST174,653,Unpaid
CUST175,1675,Unpaid
CUST176,1296,Unpaid
CUST177,1623,Paid
CUST178,1445,Unpaid
CUST179,618,Paid
CUST180,375,Paid
CUST181,1100,Unpaid
CUST182,1592,Unpaid
CUST183,1600,Paid
CUST184,1313,Unpaid
CUST185,1689,Paid
CUST186,222,Unpaid
CUST187,1982,Unpaid
CUST188,310,Paid
CUST189,509,Paid
CUST190,201,Paid
CUST191,449,Unpaid
CUST192,1058,Paid
CUST193,1572,Unpaid
CUST194,1054,Paid
CUST195,991,Unpaid
CUST196,1556,Unpaid
CUST197,1112,Unpaid
CUST198,1772,Paid
CUST199,640,Unpaid
CUST200,1963,Paid
CUST201,860,Paid
CUST202,787,Paid
CUST203,1313,Paid
CUST204,928,Paid
CUST205,1784,Paid
CUST206,523,Paid
CUST207,1401,Paid
CUST208,224,Unpaid
CUST209,720,Unpaid
CUST210,1149,Unpaid
CUST211,894,Unpaid
CUST212,984,Unpaid
CUST213,975,Unpaid
CUST214,1313,Paid
CUST215,1493,Paid
CUST216,1046,Unpaid
CUST217,1557,Unpaid
CUST218,203,Paid
CUST219,1923,Paid
CUST220,419,Paid
CUST221,1987,Paid
CUST222,1332,Unpaid
CUST223,527,Unpaid
CUST224,1788,Paid
CUST225,703,Unpaid
CUST226,585,Unpaid
CUST227,1395,Paid
CUST228,1831,Unpaid
CUST229,1592,Paid
CUST230,1261,Unpaid
CUST231,1281,Unpaid
CUST232,942,Paid
CUST233,1046,Paid
CUST234,1599,Unpaid
CUST235,1049,Paid
CUST236,808,Paid
CUST237,1264,Unpaid
CUST238,1640,Unpaid
CUST239,1025,Unpaid
CUST240,1143,Unpaid
CUST241,855,Unpaid
CUST242,1390,Paid
CUST243,680,Paid
CUST244,634,Unpaid
CUST245,1117,Unpaid
CUST246,1791,Paid
CUST247,1359,Unpaid
CUST248,1825,Paid
CUST249,1765,Paid
CUST250,427,Unpaid
CUST251,1289,Unpaid
CUST252,1766,Unpaid
CUST253,768,Paid
CUST254,1558,Paid
CUST255,587,Unpaid
CUST256,1514,Paid
CUST257,372,Paid
CUST258,1768,Unpaid
CUST259,398,Paid
CUST260,1220,Unpaid
CUST261,467,Paid
CUST262,266,Paid
CUST263,1829,Unpaid
CUST264,1112,Paid
CUST265,1348,Paid
CUST266,1378,Paid
CUST267,207,Paid
CUST268,804,Unpaid
CUST269,950,Paid
CUST270,1814,Unpaid
CUST271,1079,Unpaid
CUST272,1007,Unpaid
CUST273,1650,Unpaid
CUST274,1542,Unpaid
CUST275,1546,Unpaid
CUST276,1289,Paid
CUST277,258,Unpaid
CUST278,1990,Unpaid
CUST279,1927,Unpaid
CUST280,1256,Unpaid
CUST281,1013,Paid
CUST282,963,Paid
CUST283,317,Paid
CUST284,1750,Paid
CUST285,1117,Unpaid
CUST286,216,Unpaid
CUST287,1826,Paid
CUST288,736,Unpaid
CUST289,1219,Unpaid
CUST290,1389,Unpaid
CUST291,1587,Paid
CUST292,1424,Unpaid
CUST293,1779,Unpaid
CUST294,1200,Paid
CUST295,1118,Paid
CUST296,524,Paid
CUST297,1089,Paid
CUST298,1952,Unpaid
CUST299,889,Unpaid
CUST300,906,Paid
CUST301,1605,Unpaid
CUST302,275,Paid
CUST303,1823,Unpaid
CUST304,948,Unpaid
CUST305,1707,Paid
CUST306,299,Paid
CUST307,611,Unpaid
CUST308,864,Paid
CUST309,634,Unpaid
CUST310,1605,Paid
CUST311,1270,Unpaid
CUST312,1317,Unpaid
CUST313,475,Paid
CUST314,272,Paid
CUST315,797,Unpaid
CUST316,487,Unpaid
CUST317,661,Unpaid
CUST318,619,Paid
CUST319,1468,Paid
CUST320,1519,Paid
CUST321,1466,Unpaid
CUST322,1074,Unpaid
CUST323,850,Paid
CUST324,249,Unpaid
CUST325,818,Paid
CUST326,1600,Unpaid
CUST327,1205,Unpaid
CUST328,1822,Unpaid
CUST329,371,Unpaid
CUST330,628,Paid
CUST331,485,Unpaid
CUST332,1914,Paid
CUST333,1803,Paid
CUST334,960,Paid
CUST335,1902,Unpaid
CUST336,1927,Paid
CUST337,1756,Unpaid
CUST338,1058,Paid
CUST339,1423,Paid
CUST340,1420,Paid
CUST341,513,Unpaid
CUST342,1692,Unpaid
CUST343,735,Paid
CUST344,1964,Paid
CUST345,1964,Unpaid
CUST346,1075,Unpaid
CUST347,1502,Paid
CUST348,1563,Paid
CUST349,292,Paid
CUST350,1952,Paid
CUST351,242,Unpaid
CUST352,842,Paid
CUST353,1006,Unpaid
CUST354,531,Paid
CUST355,616,Paid
CUST356,251,Unpaid
CUST357,1230,Paid
CUST358,553,Unpaid
CUST359,329,Paid
CUST360,728,Unpaid
CUST361,935,Unpaid
CUST362,255,Unpaid
CUST363,1024,Unpaid
CUST364,708,Paid
CUST365,1508,Unpaid
CUST366,1996,Paid
CUST367,1380,Paid
CUST368,1174,Paid
CUST369,1829,Unpaid
CUST370,1443,Unpaid
CUST371,1186,Unpaid
CUST372,1772,Paid
CUST373,1866,Unpaid
CUST374,821,Paid
CUST375,1449,Unpaid
CUST376,1598,Unpaid
CUST377,309,Paid
CUST378,412,Unpaid
CUST379,1160,Paid
CUST380,1411,Paid
CUST381,1541,Paid
CUST382,327,Unpaid
CUST383,997,Unpaid
CUST384,441,Paid
CUST385,1943,Paid
