customerID,predicted_bill,bill_drop,drop_flag,offer,email
7590-VHVEG,29.393428306004154,0.45657169399584774,False,Entertainment Bundle,"Hello 7590-VHVEG, Offer: Entertainment Bundle"
5575-GNVDE,63.373471397523346,-6.423471397523343,False,Loyalty Discount Offer,"Hello 5575-GNVDE, Offer: Loyalty Discount Offer"
3668-QPYBK,55.2453770762187,-1.3953770762187006,False,Standard Add-on Pack,"Hello 3668-QPYBK, Offer: Standard Add-on Pack"
7795-CFOCW,54.09605971281111,-11.796059712811115,False,Loyalty Discount Offer,"Hello 7795-CFOCW, Offer: Loyalty Discount Offer"
9237-HQITU,67.33169325056255,3.3683067494374512,True,Premium Speed Upgrade,"Hello 9237-HQITU, Offer: Premium Speed Upgrade"
9305-CDSKC,101.08172608610334,-1.431726086103339,False,Premium Speed Upgrade,"Hello 9305-CDSKC, Offer: Premium Speed Upgrade"
1452-KIOVK,93.35842563098292,-4.258425630982927,False,Premium Speed Upgrade,"Hello 1452-KIOVK, Offer: Premium Speed Upgrade"
6713-OKOMC,30.284869458292647,-0.534869458292647,False,Entertainment Bundle,"Hello 6713-OKOMC, Offer: Entertainment Bundle"
7892-POOKP,108.26105122813277,-3.4610512281327743,False,Loyalty Discount Offer,"Hello 7892-POOKP, Offer: Loyalty Discount Offer"
6388-TABGU,65.33512008719624,-9.185120087196246,False,Loyalty Discount Offer,"Hello 6388-TABGU, Offer: Loyalty Discount Offer"
9763-GRSKD,48.173164614373675,1.7768353856263275,False,Entertainment Bundle,"Hello 9763-GRSKD, Offer: Entertainment Bundle"
7469-LKBCI,20.81854049284635,-1.8685404928463498,False,Entertainment Bundle,"Hello 7469-LKBCI, Offer: Entertainment Bundle"
8091-TTVAX,110.23392454315072,-9.883924543150727,False,Loyalty Discount Offer,"Hello 8091-TTVAX, Offer: Loyalty Discount Offer"
0280-XJGEX,105.32343951068961,-1.6234395106896073,False,Loyalty Discount Offer,"Hello 0280-XJGEX, Offer: Loyalty Discount Offer"
5129-JLPIS,107.80016433496635,-2.300164334966354,False,Loyalty Discount Offer,"Hello 5129-JLPIS, Offer: Loyalty Discount Offer"
3655-SNQYZ,126.57542494149924,-13.325424941499236,False,Loyalty Discount Offer,"Hello 3655-SNQYZ, Offer: Loyalty Discount Offer"
8191-XWSZG,23.224337759349797,-2.574337759349799,False,Loyalty Discount Offer,"Hello 8191-XWSZG, Offer: Loyalty Discount Offer"
9959-WOFKT,118.87849466516973,-12.178494665169723,False,Loyalty Discount Offer,"Hello 9959-WOFKT, Offer: Loyalty Discount Offer"
4190-MFLUW,53.88395184895124,1.3160481510487614,False,Standard Add-on Pack,"Hello 4190-MFLUW, Offer: Standard Add-on Pack"
4183-MYFRB,89.77539259733427,0.2746074026657226,False,Premium Speed Upgrade,"Hello 4183-MYFRB, Offer: Premium Speed Upgrade"
8779-QRDMV,42.6312975378235,-2.981297537823501,False,Entertainment Bundle,"Hello 8779-QRDMV, Offer: Entertainment Bundle"
1680-VDCWW,21.948447399050764,-2.148447399050763,False,Entertainment Bundle,"Hello 1680-VDCWW, Offer: Entertainment Bundle"
1066-JKSGK,17.335056409382446,2.8149435906175526,False,Entertainment Bundle,"Hello 1066-JKSGK, Offer: Entertainment Bundle"
3638-WEABW,64.95050362757469,-5.050503627574692,False,Loyalty Discount Offer,"Hello 3638-WEABW, Offer: Loyalty Discount Offer"
6322-HRPFA,62.46123455094832,-2.8612345509483177,False,Loyalty Discount Offer,"Hello 6322-HRPFA, Offer: Loyalty Discount Offer"
6865-JZNKO,57.02184517943632,-1.7218451794363219,False,Loyalty Discount Offer,"Hello 6865-JZNKO, Offer: Loyalty Discount Offer"
6467-CHFZW,100.89801284516324,-1.5480128451632424,False,Loyalty Discount Offer,"Hello 6467-CHFZW, Offer: Loyalty Discount Offer"
8665-UTDHZ,29.50139603668925,0.6986039633107488,False,Entertainment Bundle,"Hello 8665-UTDHZ, Offer: Entertainment Bundle"
5248-YGIJN,103.64872262017406,-13.398722620174055,False,Loyalty Discount Offer,"Hello 5248-YGIJN, Offer: Loyalty Discount Offer"
8773-HHUOZ,64.9666125004105,-0.26661250041050266,False,Standard Add-on Pack,"Hello 8773-HHUOZ, Offer: Standard Add-on Pack"
3841-NFECX,106.69658677551764,-10.34658677551765,False,Loyalty Discount Offer,"Hello 3841-NFECX, Offer: Loyalty Discount Offer"
4929-XIHVW,100.80455636899681,-5.304556368996813,False,Premium Speed Upgrade,"Hello 4929-XIHVW, Offer: Premium Speed Upgrade"
6827-IEAUQ,75.47300555054922,-9.323005550549212,False,Loyalty Discount Offer,"Hello 6827-IEAUQ, Offer: Loyalty Discount Offer"
7310-EGVHZ,15.134578142088394,5.0654218579116055,True,Entertainment Bundle,"Hello 7310-EGVHZ, Offer: Entertainment Bundle"
3413-BMNZE,43.94508982420554,1.3049101757944612,False,Entertainment Bundle,"Hello 3413-BMNZE, Offer: Entertainment Bundle"
6234-RAAPL,109.05831270004582,-9.158312700045812,False,Loyalty Discount Offer,"Hello 6234-RAAPL, Offer: Loyalty Discount Offer"
6047-YHPVI,67.36772719000896,2.3322728099910393,False,Premium Speed Upgrade,"Hello 6047-YHPVI, Offer: Premium Speed Upgrade"
6572-ADKRS,71.68065975222588,3.119340247774119,True,Loyalty Discount Offer,"Hello 6572-ADKRS, Offer: Loyalty Discount Offer"
5380-WJKOV,108.39362790220801,-2.0436279022080157,False,Loyalty Discount Offer,"Hello 5380-WJKOV, Offer: Loyalty Discount Offer"
8168-UQWWF,100.29372247173131,-2.44372247173132,False,Premium Speed Upgrade,"Hello 8168-UQWWF, Offer: Premium Speed Upgrade"
8865-TNMNX,55.02693316001246,-5.476933160012464,False,Entertainment Bundle,"Hello 8865-TNMNX, Offer: Entertainment Bundle"
9489-DEDVP,79.54273656238891,-10.342736562388907,False,Loyalty Discount Offer,"Hello 9489-DEDVP, Offer: Loyalty Discount Offer"
9867-JCZSP,23.368703435234032,-2.618703435234032,False,Entertainment Bundle,"Hello 9867-JCZSP, Offer: Entertainment Bundle"
4671-VJLCL,91.89779260882615,-12.047792608826157,False,Loyalty Discount Offer,"Hello 4671-VJLCL, Offer: Loyalty Discount Offer"
4080-IIARD,76.8929560192829,-0.692956019282903,False,Standard Add-on Pack,"Hello 4080-IIARD, Offer: Standard Add-on Pack"
3714-NTNFO,84.01031158321028,0.4896884167897184,False,Loyalty Discount Offer,"Hello 3714-NTNFO, Offer: Loyalty Discount Offer"
5948-UJZLF,46.92872245809613,2.321277541903868,False,Entertainment Bundle,"Hello 5948-UJZLF, Offer: Entertainment Bundle"
7760-OYPDY,81.36424445244673,-0.7142444524467209,False,Premium Speed Upgrade,"Hello 7760-OYPDY, Offer: Premium Speed Upgrade"
7639-LIAYI,91.03723657912676,-11.287236579126755,False,Loyalty Discount Offer,"Hello 7639-LIAYI, Offer: Loyalty Discount Offer"
2954-PIBKO,70.57391968926215,-6.423919689262149,False,Loyalty Discount Offer,"Hello 2954-PIBKO, Offer: Loyalty Discount Offer"
8012-SOUDQ,93.04816793878022,-2.7981679387802245,False,Loyalty Discount Offer,"Hello 8012-SOUDQ, Offer: Loyalty Discount Offer"
9420-LOJKX,102.07983543916879,-2.979835439168795,False,Premium Speed Upgrade,"Hello 9420-LOJKX, Offer: Premium Speed Upgrade"
6575-SUVOI,70.8961559993755,-1.3961559993754946,False,Loyalty Discount Offer,"Hello 6575-SUVOI, Offer: Loyalty Discount Offer"
