customer_id,operator,plan_type,tenure,previous_bill,paid_status,data_gb,call_minutes,avg_usage_score
CUST0,Airtel,Prepaid,60,1025,Paid,9,1585,11.739999999999998
CUST1,Jio,Prepaid,61,1724,Paid,66,1570,45.88
CUST2,Airtel,Postpaid,14,1247,Unpaid,99,2118,67.872
CUST3,BSNL,Postpaid,46,1876,Unpaid,52,1165,35.86
CUST4,Airtel,Prepaid,39,1109,Paid,57,3434,47.93599999999999
CUST5,Airtel,Prepaid,66,512,Paid,75,2282,54.128
CUST6,Vi,Prepaid,8,329,Paid,26,4929,35.316
CUST7,Vi,Postpaid,3,1628,Unpaid,81,1861,56.044000000000004
CUST8,BSNL,Postpaid,12,1906,Unpaid,33,1777,26.908
CUST9,Jio,Prepaid,35,561,Paid,62,2141,45.763999999999996
CUST10,Jio,Postpaid,32,626,Unpaid,52,2650,41.8
CUST11,Airtel,Postpaid,34,277,Unpaid,3,520,3.88
CUST12,Vi,Postpaid,45,1753,Paid,10,4558,24.232
CUST13,Jio,Prepaid,33,916,Unpaid,46,4080,43.92
CUST14,Airtel,Prepaid,63,1499,Paid,88,883,56.332
CUST15,BSNL,Prepaid,43,591,Paid,35,2885,32.54
CUST16,BSNL,Prepaid,2,914,Paid,62,2540,47.36
CUST17,BSNL,Prepaid,41,1140,Paid,52,3868,46.672
CUST18,BSNL,Postpaid,44,625,Unpaid,68,3721,55.684
CUST19,Airtel,Prepaid,11,1731,Unpaid,61,4441,54.364000000000004
CUST20,BSNL,Prepaid,57,1425,Paid,85,3774,66.096
CUST21,Airtel,Postpaid,3,402,Paid,92,3170,67.88
CUST22,Jio,Postpaid,59,1605,Unpaid,14,3736,23.344
CUST23,Vi,Postpaid,42,219,Unpaid,49,1110,33.839999999999996
CUST24,Jio,Prepaid,21,522,Paid,51,448,32.391999999999996
CUST25,Airtel,Postpaid,45,1059,Unpaid,40,3939,39.756
CUST26,Jio,Prepaid,20,586,Unpaid,36,646,24.183999999999997
CUST27,Jio,Prepaid,63,1278,Paid,1,1136,5.144
CUST28,Airtel,Prepaid,4,1201,Paid,43,1301,31.004
CUST29,BSNL,Postpaid,42,1002,Unpaid,62,476,39.104
CUST30,BSNL,Postpaid,13,1383,Unpaid,66,1459,45.436
CUST31,Vi,Postpaid,58,248,Paid,30,3635,32.54
CUST32,Airtel,Prepaid,7,218,Paid,28,4870,36.28
CUST33,Vi,Postpaid,62,841,Unpaid,51,3777,45.708
CUST34,Jio,Prepaid,45,1181,Paid,2,2935,12.94
CUST35,BSNL,Postpaid,66,1544,Paid,29,2248,26.392
CUST36,Jio,Prepaid,49,1845,Unpaid,80,2513,58.052
CUST37,Jio,Postpaid,24,714,Paid,84,4445,68.18
CUST38,Jio,Postpaid,41,1230,Paid,7,3787,19.348000000000003
CUST39,Jio,Postpaid,40,1801,Unpaid,42,1888,32.752
CUST40,BSNL,Postpaid,64,255,Unpaid,21,1147,17.188
CUST41,Airtel,Postpaid,54,1853,Paid,55,3173,45.692
CUST42,Vi,Postpaid,14,1808,Paid,40,1181,28.724
CUST43,Jio,Postpaid,19,327,Unpaid,8,1940,12.559999999999999
CUST44,Airtel,Prepaid,51,1861,Unpaid,64,1512,44.448
CUST45,Vi,Postpaid,57,1334,Paid,45,1209,31.836
CUST46,Airtel,Postpaid,17,467,Paid,1,840,3.96
CUST47,BSNL,Prepaid,64,1649,Paid,87,3835,67.53999999999999
CUST48,Vi,Postpaid,60,1125,Paid,93,3797,70.988
CUST49,BSNL,Prepaid,56,1907,Paid,12,1695,13.98
CUST50,Jio,Postpaid,10,1962,Paid,95,3902,72.608
CUST51,Vi,Postpaid,37,245,Unpaid,78,228,47.711999999999996
CUST52,BSNL,Postpaid,6,400,Paid,36,1069,25.875999999999998
CUST53,Vi,Prepaid,71,1165,Unpaid,4,2209,11.236
CUST54,Airtel,Postpaid,65,1490,Unpaid,21,1184,17.336
CUST55,Jio,Prepaid,21,219,Paid,80,1763,55.052
CUST56,Vi,Prepaid,59,1695,Unpaid,13,1413,13.452
CUST57,Jio,Prepaid,23,908,Unpaid,51,1510,36.64
CUST58,Airtel,Postpaid,67,1835,Paid,91,2464,64.456
CUST59,BSNL,Postpaid,64,1422,Unpaid,16,1015,13.66
CUST60,BSNL,Prepaid,49,1735,Unpaid,5,1531,9.123999999999999
CUST61,Jio,Postpaid,58,865,Unpaid,57,1784,41.336
CUST62,BSNL,Prepaid,27,455,Unpaid,26,4857,35.028
CUST63,Vi,Postpaid,41,240,Unpaid,27,2300,25.4
CUST64,Airtel,Prepaid,66,1389,Unpaid,52,3325,44.5
CUST65,Vi,Prepaid,14,632,Paid,14,3925,24.1
CUST66,Jio,Prepaid,63,1966,Paid,11,2749,17.596000000000004
CUST67,Jio,Prepaid,48,641,Unpaid,54,1280,37.519999999999996
CUST68,Jio,Prepaid,9,1621,Paid,81,3933,64.33200000000001
CUST69,Jio,Postpaid,40,1605,Paid,95,2949,68.796
CUST70,BSNL,Prepaid,17,1286,Paid,18,2345,20.18
CUST71,Airtel,Prepaid,63,1488,Paid,39,2996,35.384
CUST72,Airtel,Prepaid,37,846,Paid,13,1273,12.892
CUST73,Vi,Prepaid,25,1562,Paid,27,442,17.968
CUST74,Vi,Prepaid,5,1078,Unpaid,50,2836,41.344
CUST75,Airtel,Postpaid,55,1908,Paid,65,2667,49.668
CUST76,Airtel,Postpaid,9,525,Paid,55,1951,40.804
CUST77,Jio,Postpaid,60,606,Paid,19,4028,27.512
CUST78,BSNL,Prepaid,15,1320,Unpaid,98,112,59.248
CUST79,Jio,Prepaid,71,1148,Paid,11,1958,14.432
CUST80,BSNL,Prepaid,25,1320,Unpaid,4,3229,15.316000000000003
CUST81,Vi,Prepaid,7,1804,Paid,68,1558,47.032
CUST82,BSNL,Prepaid,50,1340,Paid,13,3856,23.224
CUST83,BSNL,Prepaid,37,1989,Paid,19,3671,26.084000000000003
CUST84,Vi,Prepaid,63,769,Unpaid,73,2534,53.936
CUST85,BSNL,Postpaid,65,511,Unpaid,92,3165,67.86
CUST86,Airtel,Postpaid,44,1414,Unpaid,12,822,10.488
CUST87,Airtel,Postpaid,8,1038,Paid,49,3017,41.467999999999996
CUST88,BSNL,Postpaid,69,559,Paid,32,1898,26.792
CUST89,BSNL,Prepaid,4,1396,Unpaid,65,256,40.024
CUST90,BSNL,Postpaid,12,896,Unpaid,29,2247,26.387999999999998
CUST91,Jio,Postpaid,42,1523,Unpaid,87,460,54.04
CUST92,BSNL,Postpaid,61,660,Unpaid,13,1819,15.076
CUST93,Vi,Prepaid,61,701,Unpaid,65,4833,58.332
CUST94,Jio,Prepaid,23,934,Unpaid,58,392,36.367999999999995
CUST95,BSNL,Prepaid,48,1634,Paid,20,1544,18.176000000000002
CUST96,BSNL,Prepaid,57,627,Paid,19,3473,25.292
CUST97,BSNL,Prepaid,32,1038,Paid,11,420,8.28
CUST98,Vi,Prepaid,59,307,Paid,78,1329,52.116
CUST99,Vi,Prepaid,36,1774,Paid,31,2650,29.199999999999996
CUST100,BSNL,Postpaid,57,1315,Paid,92,3864,70.65599999999999
CUST101,Jio,Prepaid,27,942,Unpaid,71,4065,58.86
CUST102,Jio,Postpaid,71,1251,Paid,18,1793,17.972
CUST103,Airtel,Postpaid,23,1898,Paid,11,224,7.4959999999999996
CUST104,BSNL,Prepaid,3,1204,Paid,72,4709,62.036
CUST105,Jio,Postpaid,29,412,Unpaid,15,758,12.032
CUST106,Vi,Prepaid,56,736,Unpaid,90,2262,63.048
CUST107,Jio,Postpaid,37,736,Paid,85,4782,70.128
CUST108,BSNL,Postpaid,60,1597,Unpaid,24,1201,19.204
CUST109,Airtel,Postpaid,45,1861,Unpaid,37,2782,33.328
CUST110,Vi,Postpaid,9,1782,Paid,29,150,18.0
CUST111,BSNL,Prepaid,10,853,Unpaid,95,2695,67.78
CUST112,BSNL,Prepaid,62,1757,Paid,26,2132,24.128
CUST113,Airtel,Postpaid,32,876,Unpaid,15,4188,25.752
CUST114,Vi,Postpaid,44,461,Paid,83,2571,60.083999999999996
CUST115,Jio,Prepaid,43,376,Paid,8,4879,24.316000000000003
CUST116,BSNL,Prepaid,3,526,Paid,59,3939,51.156
CUST117,Airtel,Postpaid,52,1368,Unpaid,90,1112,58.448
CUST118,Jio,Prepaid,25,1388,Paid,64,3215,51.26
CUST119,Airtel,Postpaid,6,548,Unpaid,6,1068,7.872
CUST120,Vi,Prepaid,58,1661,Paid,7,569,6.476000000000001
CUST121,Vi,Postpaid,33,1354,Paid,48,536,30.943999999999996
CUST122,Jio,Prepaid,15,804,Unpaid,33,3110,32.24
CUST123,Jio,Postpaid,22,738,Paid,73,3250,56.8
CUST124,BSNL,Postpaid,27,715,Unpaid,32,1940,26.96
CUST125,Jio,Prepaid,45,728,Paid,47,684,30.936
CUST126,Vi,Postpaid,27,552,Unpaid,29,4455,35.22
CUST127,Jio,Prepaid,21,886,Unpaid,84,1823,57.692
CUST128,Vi,Postpaid,2,1548,Unpaid,30,119,18.476
CUST129,Airtel,Postpaid,66,392,Unpaid,99,2479,69.316
CUST130,BSNL,Prepaid,23,1005,Paid,9,2235,14.34
CUST131,Vi,Prepaid,60,895,Paid,3,516,3.864
CUST132,BSNL,Postpaid,27,253,Unpaid,19,4643,29.972
CUST133,BSNL,Prepaid,1,1507,Paid,5,246,3.984
CUST134,Vi,Prepaid,14,1118,Unpaid,43,777,28.908
CUST135,Vi,Prepaid,57,1454,Unpaid,21,3920,28.28
CUST136,Vi,Postpaid,43,755,Unpaid,13,239,8.756
CUST137,Airtel,Prepaid,68,1967,Unpaid,23,2526,23.904
